# Test-count baseline for the release gate. Comment lines are ignored by `verify`.
#
# Recorded from : run 36242031184 (v1.24.0)
#                 https://github.com/Servant-Software-LLC/Guardrails/actions/runs/36242031184
# Recorded at   : 2026-09-26T13:29:17Z
#
# Totals must match across all three OS; SKIPS legitimately differ per platform, which is
# exactly why they are pinned here. Re-record deliberately, never to make red go away:
#     .github/scripts/release-preflight.sh baseline <run-id>
#
test (macos-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3217, Skipped: 3, Total: 3220
test (macos-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3217, Skipped: 3, Total: 3220
test (macos-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1641, Skipped: 12, Total: 1653
test (macos-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1641, Skipped: 12, Total: 1653
test (ubuntu-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3218, Skipped: 2, Total: 3220
test (ubuntu-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3218, Skipped: 2, Total: 3220
test (ubuntu-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1641, Skipped: 12, Total: 1653
test (ubuntu-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1641, Skipped: 12, Total: 1653
test (windows-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3219, Skipped: 1, Total: 3220
test (windows-latest) | Guardrails.Core.Tests.dll | Failed: 0, Passed: 3219, Skipped: 1, Total: 3220
test (windows-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1649, Skipped: 4, Total: 1653
test (windows-latest) | Guardrails.Integration.Tests.dll | Failed: 0, Passed: 1649, Skipped: 4, Total: 1653
